#
# Mean: -4.62854911e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.62854911e-02       1.495262e-07
      2              500       -4.62854911e-02       1.931492e-07
      5              200       -4.62854911e-02       2.664341e-07
     10              100       -4.62854911e-02       3.274824e-07
     20               50       -4.62854911e-02       3.445108e-07
     50               20       -4.62854911e-02       4.401100e-07
    100               10       -4.62854911e-02       4.581269e-07
    200                5       -4.62854911e-02       3.600501e-07
    300                3       -4.62855374e-02       1.902253e-07
    400                2       -4.62855030e-02       4.252741e-07
# Stocahstic error estimate: 4.581269e-07
#
