#
# Mean: -4.61912535e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61912535e-02       2.482823e-07
      2              500       -4.61912535e-02       3.351087e-07
      5              200       -4.61912535e-02       4.916327e-07
     10              100       -4.61912535e-02       6.367359e-07
     20               50       -4.61912535e-02       7.999856e-07
     50               20       -4.61912535e-02       8.855913e-07
    100               10       -4.61912535e-02       1.076600e-06
    200                5       -4.61912535e-02       4.306246e-07
    300                3       -4.61907333e-02       8.898502e-07
    400                2       -4.61912618e-02       3.588804e-07
# Stocahstic error estimate: 1.076600e-06
#
