rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
2	-4.61884821e-02	5.654876123254245712e+00 
12	-4.61877915e-02	3.555696911199226928e+00 
13	-4.61843493e-02	2.079662778153815061e+00 
15	-4.61800881e-02	9.576092897076502464e-01 
11	-4.61619181e-02	8.363878936030231248e-01 
14	-4.61556845e-02	8.792832862442606867e+00 
0	-4.61556800e-02	7.821058164172701721e-01 
9	-4.61540187e-02	8.468923063965946296e-01 
8	-4.61340262e-02	5.416440099462376256e-01 
5	-4.61254703e-02	5.710988630094984142e-01 
10	-4.60331142e-02	1.027851565455388944e-01 
7	-4.60084325e-02	5.993982566065977208e-02 
1	-4.59844396e-02	3.661487250890631956e-02 
3	-4.51954396e-02	1.446014766405040319e+01 
4	-4.46172669e-02	1.703185893564639386e+01 
6	inf	1.006916087050517206e+01 

