#
# Mean: -4.61884821e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61884821e-02       2.673522e-07
      2              500       -4.61884821e-02       3.619860e-07
      5              200       -4.61884821e-02       5.232440e-07
     10              100       -4.61884821e-02       6.706283e-07
     20               50       -4.61884821e-02       7.757819e-07
     50               20       -4.61884821e-02       1.097310e-06
    100               10       -4.61884821e-02       1.274053e-06
    200                5       -4.61884821e-02       7.989451e-07
    300                3       -4.61889296e-02       1.104729e-06
    400                2       -4.61885117e-02       3.107132e-07
# Stocahstic error estimate: 1.274053e-06
#
