#
# Mean: -4.59270893e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59270893e-02       3.898928e-07
      2              500       -4.59270893e-02       5.302664e-07
      5              200       -4.59270893e-02       7.846577e-07
     10              100       -4.59270893e-02       1.024884e-06
     20               50       -4.59270893e-02       1.283191e-06
     50               20       -4.59270893e-02       1.759755e-06
    100               10       -4.59270893e-02       1.950018e-06
    200                5       -4.59270893e-02       1.849177e-06
    300                3       -4.59273863e-02       1.412165e-06
    400                2       -4.59264993e-02       3.785922e-06
# Stocahstic error estimate: 1.950018e-06
#
