#
# Mean: -1.96999429e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.96999429e-02       8.517941e-08
      2              500       -1.96999429e-02       1.151140e-07
      5              200       -1.96999429e-02       1.689124e-07
     10              100       -1.96999429e-02       2.162818e-07
     20               50       -1.96999429e-02       2.647131e-07
     50               20       -1.96999429e-02       3.345735e-07
    100               10       -1.96999429e-02       4.013895e-07
    200                5       -1.96999429e-02       3.039476e-07
    300                3       -1.96999580e-02       6.834710e-07
    400                2       -1.96999205e-02       4.994137e-07
# Stocahstic error estimate: 4.013895e-07
#
