#
# Mean: -2.43345992e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.43345992e-02       1.196014e-07
      2              500       -2.43345992e-02       1.602791e-07
      5              200       -2.43345992e-02       2.306539e-07
     10              100       -2.43345992e-02       2.923484e-07
     20               50       -2.43345992e-02       3.617448e-07
     50               20       -2.43345992e-02       4.288831e-07
    100               10       -2.43345992e-02       5.277097e-07
    200                5       -2.43345992e-02       5.894470e-07
    300                3       -2.43347222e-02       4.198635e-07
    400                2       -2.43347718e-02       1.908655e-08
# Stocahstic error estimate: 5.894470e-07
#
