#
# Mean: -1.97072673e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.97072673e-02       8.988554e-08
      2              500       -1.97072673e-02       1.216293e-07
      5              200       -1.97072673e-02       1.749098e-07
     10              100       -1.97072673e-02       2.248879e-07
     20               50       -1.97072673e-02       2.914047e-07
     50               20       -1.97072673e-02       3.279650e-07
    100               10       -1.97072673e-02       3.649362e-07
    200                5       -1.97072673e-02       3.029748e-07
    300                3       -1.97071991e-02       3.609173e-07
    400                2       -1.97071605e-02       2.117951e-07
# Stocahstic error estimate: 3.649362e-07
#
