#
# Mean: -3.18878408e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.18878408e-02       1.251645e-07
      2              500       -3.18878408e-02       1.667107e-07
      5              200       -3.18878408e-02       2.378862e-07
     10              100       -3.18878408e-02       2.945545e-07
     20               50       -3.18878408e-02       3.755760e-07
     50               20       -3.18878408e-02       4.806798e-07
    100               10       -3.18878408e-02       6.247641e-07
    200                5       -3.18878408e-02       8.394155e-07
    300                3       -3.18882491e-02       6.158861e-07
    400                2       -3.18883408e-02       1.546793e-06
# Stocahstic error estimate: 8.394155e-07
#
