#
# Mean: -3.18055444e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.18055444e-02       1.612541e-07
      2              500       -3.18055444e-02       2.203809e-07
      5              200       -3.18055444e-02       3.211016e-07
     10              100       -3.18055444e-02       4.134821e-07
     20               50       -3.18055444e-02       5.295645e-07
     50               20       -3.18055444e-02       5.570470e-07
    100               10       -3.18055444e-02       5.759831e-07
    200                5       -3.18055444e-02       7.395491e-07
    300                3       -3.18058079e-02       1.142953e-06
    400                2       -3.18059009e-02       1.136632e-06
# Stocahstic error estimate: 5.759831e-07
#
