#
# Mean: -4.59737197e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59737197e-02       3.028788e-07
      2              500       -4.59737197e-02       4.125419e-07
      5              200       -4.59737197e-02       6.039678e-07
     10              100       -4.59737197e-02       7.718098e-07
     20               50       -4.59737197e-02       9.341837e-07
     50               20       -4.59737197e-02       1.018521e-06
    100               10       -4.59737197e-02       1.222528e-06
    200                5       -4.59737197e-02       9.157620e-07
    300                3       -4.59736360e-02       1.786802e-06
    400                2       -4.59734489e-02       1.487975e-06
# Stocahstic error estimate: 1.222528e-06
#
