#
# Mean: 5.69096673e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69096673e-01       2.301745e-05
      2              500       5.69096673e-01       2.644255e-05
      5              200       5.69096673e-01       3.124769e-05
     10              100       5.69096673e-01       3.497324e-05
     20               50       5.69096673e-01       3.411077e-05
     50               20       5.69096673e-01       4.151474e-05
    100               10       5.69096673e-01       3.190101e-05
    200                5       5.69096673e-01       4.000141e-05
    300                3       5.69105041e-01       2.933157e-05
    400                2       5.69109956e-01       7.279212e-05
# Stocahstic error estimate: 3.497324e-05
#
