#
# Mean: -7.98196461e-02
# Block size    # of blocks         Mean                Error
      1             1000       -7.98196461e-02       1.985611e-06
      2              500       -7.98196461e-02       2.435103e-06
      5              200       -7.98196461e-02       3.068456e-06
     10              100       -7.98196461e-02       3.548949e-06
     20               50       -7.98196461e-02       3.955486e-06
     50               20       -7.98196461e-02       4.061152e-06
    100               10       -7.98196461e-02       4.780368e-06
    200                5       -7.98196461e-02       6.136665e-06
    300                3       -7.98213173e-02       6.846587e-06
    400                2       -7.98211642e-02       1.704571e-07
# Stocahstic error estimate: 4.061152e-06
#
