#
# Mean: 5.69038303e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69038303e-01       1.883878e-05
      2              500       5.69038303e-01       2.203102e-05
      5              200       5.69038303e-01       2.732782e-05
     10              100       5.69038303e-01       2.964487e-05
     20               50       5.69038303e-01       2.754997e-05
     50               20       5.69038303e-01       3.225674e-05
    100               10       5.69038303e-01       3.329605e-05
    200                5       5.69038303e-01       3.131320e-05
    300                3       5.69013740e-01       1.580905e-05
    400                2       5.69012448e-01       4.264196e-06
# Stocahstic error estimate: 2.964487e-05
#
