#
# Mean: -7.98359187e-02
# Block size    # of blocks         Mean                Error
      1             1000       -7.98359187e-02       2.209761e-06
      2              500       -7.98359187e-02       2.564587e-06
      5              200       -7.98359187e-02       3.048921e-06
     10              100       -7.98359187e-02       3.478785e-06
     20               50       -7.98359187e-02       3.328470e-06
     50               20       -7.98359187e-02       4.021000e-06
    100               10       -7.98359187e-02       3.405232e-06
    200                5       -7.98359187e-02       3.807736e-06
    300                3       -7.98372431e-02       6.835089e-06
    400                2       -7.98368080e-02       9.440206e-06
# Stocahstic error estimate: 3.478785e-06
#
