#
# Mean: -7.98206645e-02
# Block size    # of blocks         Mean                Error
      1             1000       -7.98206645e-02       1.938105e-06
      2              500       -7.98206645e-02       2.303117e-06
      5              200       -7.98206645e-02       2.896890e-06
     10              100       -7.98206645e-02       3.135840e-06
     20               50       -7.98206645e-02       3.446058e-06
     50               20       -7.98206645e-02       3.607534e-06
    100               10       -7.98206645e-02       4.015153e-06
    200                5       -7.98206645e-02       3.323767e-06
    300                3       -7.98220456e-02       6.166858e-06
    400                2       -7.98205651e-02       6.713234e-06
# Stocahstic error estimate: 3.607534e-06
#
