#
# Mean: 5.69283922e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69283922e-01       2.273636e-05
      2              500       5.69283922e-01       2.742806e-05
      5              200       5.69283922e-01       3.322192e-05
     10              100       5.69283922e-01       3.187909e-05
     20               50       5.69283922e-01       3.373769e-05
     50               20       5.69283922e-01       3.082618e-05
    100               10       5.69283922e-01       2.965037e-05
    200                5       5.69283922e-01       2.529007e-05
    300                3       5.69304470e-01       1.810034e-05
    400                2       5.69303208e-01       2.051190e-05
# Stocahstic error estimate: 3.322192e-05
#
