#
# Mean: -4.59287127e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59287127e-02       3.767586e-07
      2              500       -4.59287127e-02       5.125015e-07
      5              200       -4.59287127e-02       7.694879e-07
     10              100       -4.59287127e-02       1.018207e-06
     20               50       -4.59287127e-02       1.325542e-06
     50               20       -4.59287127e-02       1.598709e-06
    100               10       -4.59287127e-02       2.204069e-06
    200                5       -4.59287127e-02       2.351148e-06
    300                3       -4.59286442e-02       1.746279e-06
    400                2       -4.59286656e-02       4.124773e-06
# Stocahstic error estimate: 2.351148e-06
#
