#
# Mean: -5.19898204e-03
# Block size    # of blocks         Mean                Error
      1             1000       -5.19898204e-03       1.711661e-08
      2              500       -5.19898204e-03       2.346071e-08
      5              200       -5.19898204e-03       3.525102e-08
     10              100       -5.19898204e-03       4.762728e-08
     20               50       -5.19898204e-03       6.370157e-08
     50               20       -5.19898204e-03       9.117665e-08
    100               10       -5.19898204e-03       1.213990e-07
    200                5       -5.19898204e-03       1.599303e-07
    300                3       -5.19895535e-03       9.846945e-08
    400                2       -5.19896913e-03       2.837006e-07
# Stocahstic error estimate: 1.599303e-07
#
