#
# Mean: -4.59262918e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59262918e-02       3.598457e-07
      2              500       -4.59262918e-02       4.865788e-07
      5              200       -4.59262918e-02       6.996708e-07
     10              100       -4.59262918e-02       8.943768e-07
     20               50       -4.59262918e-02       1.072443e-06
     50               20       -4.59262918e-02       1.258017e-06
    100               10       -4.59262918e-02       1.058343e-06
    200                5       -4.59262918e-02       1.175260e-06
    300                3       -4.59260069e-02       8.082723e-07
    400                2       -4.59264416e-02       1.723811e-06
# Stocahstic error estimate: 1.258017e-06
#
