#
# Mean: -2.16939985e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.16939985e-02       6.720437e-07
      2              500       -2.16939985e-02       9.501745e-07
      5              200       -2.16939985e-02       1.503734e-06
     10              100       -2.16939985e-02       2.133263e-06
     20               50       -2.16939985e-02       3.038116e-06
     50               20       -2.16939985e-02       4.939583e-06
    100               10       -2.16939985e-02       7.339125e-06
    200                5       -2.16939985e-02       1.151580e-05
    300                3       -2.16908830e-02       1.580248e-05
    400                2       -2.16875156e-02       2.196114e-05
