#
# Mean: -4.59245199e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59245199e-02       3.926411e-07
      2              500       -4.59245199e-02       5.358685e-07
      5              200       -4.59245199e-02       7.862292e-07
     10              100       -4.59245199e-02       1.011228e-06
     20               50       -4.59245199e-02       1.272652e-06
     50               20       -4.59245199e-02       1.676343e-06
    100               10       -4.59245199e-02       2.128057e-06
    200                5       -4.59245199e-02       3.085374e-06
    300                3       -4.59251782e-02       2.912710e-06
    400                2       -4.59258214e-02       7.589593e-06
# Stocahstic error estimate: 3.085374e-06
#
