#
# Mean: -5.19900301e-03
# Block size    # of blocks         Mean                Error
      1             1000       -5.19900301e-03       1.453614e-08
      2              500       -5.19900301e-03       1.964455e-08
      5              200       -5.19900301e-03       2.904308e-08
     10              100       -5.19900301e-03       3.708769e-08
     20               50       -5.19900301e-03       4.498210e-08
     50               20       -5.19900301e-03       5.581079e-08
    100               10       -5.19900301e-03       6.410481e-08
    200                5       -5.19900301e-03       6.217226e-08
    300                3       -5.19896775e-03       5.618410e-08
    400                2       -5.19896787e-03       1.149615e-07
# Stocahstic error estimate: 6.410481e-08
#
