rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
2	-4.60316200e-02	1.589819572953034221e+00 
4	-4.60251654e-02	1.095262236019636681e+00 
6	-4.59769294e-02	5.871155542548576189e-01 
0	-4.59718392e-02	5.277468101118272248e-01 
14	-4.57807498e-02	1.035019597449003959e-01 
15	-4.53655659e-02	3.456191736062952202e+01 
8	-4.51439464e-02	5.630186595311478109e-02 
1	-4.39989954e-02	2.723118887569081492e-02 
13	-4.37524490e-02	2.344775272350821047e-02 
10	-4.18068456e-02	5.020892861932495753e-03 
11	inf	1.382050568965495927e+02 
12	inf	2.002994176952995531e+02 
3	inf	1.370305949252370965e+03 
5	inf	1.392311583994567172e+02 
7	inf	1.277700006621697412e+03 
9	inf	4.674475146216112080e+03 

rs = 45
----------------------------------------
Trial	Energy	Hyperparameters
5	-3.67463925e+02	5.927639128763161125e+02 
8	-2.17519603e-02	2.139060311745898346e+01 
9	-2.17500164e-02	4.286412156212808355e+00 
14	-2.17343076e-02	1.241386659201379388e+02 
11	-2.17007609e-02	5.313149899201244919e-01 
2	-2.16029660e-02	3.207723643396373503e-01 
12	-2.15865691e-02	3.063011197922953510e-01 
0	-2.15772728e-02	2.981734963711924480e-01 
1	-2.11529803e-02	1.487931497026591388e-01 
3	-1.91104890e-02	7.314661443172562096e-03 
4	-1.90679434e-02	6.301543444831799595e-03 
15	-1.89611627e-02	3.588117203085999015e-03 
10	-1.89231842e-02	2.632167071168203202e-03 
13	-1.89012878e-02	2.196664161280225801e-03 
7	-1.88988948e-02	2.164750280221484045e-03 
6	inf	2.302305729833725252e+02 

rs = 200
----------------------------------------
Trial	Energy	Hyperparameters
3	-5.21107357e-03	2.318062738294703706e+02 
13	-5.21051353e-03	3.796828269519529186e+01 
11	-5.21014350e-03	1.344598982846096824e+01 
9	-5.20090694e-03	1.415818032449826802e+01 
6	-5.18558211e-03	3.591794982185175122e+00 
12	-4.94290594e-03	4.903696462433676517e-01 
5	-4.77636366e-03	2.915047212831419210e-01 
2	-4.66441773e-03	2.024564850822934692e-01 
14	-4.58012754e-03	1.471345711231819287e-01 
7	-4.39120662e-03	3.423259141636840475e-02 
4	-4.33758839e-03	1.004289758148863010e-02 
10	-4.33336954e-03	8.716820720860456520e-03 
1	-4.32181852e-03	3.099535448960623069e-03 
8	-4.31929483e-03	1.638812244270879039e-03 
0	-4.31800119e-03	1.633446403523914139e-03 
15	inf	4.427758510339210261e+03 

