#
# Mean: -5.21107357e-03
# Block size    # of blocks         Mean                Error
      1             1000       -5.21107357e-03       1.386961e-08
      2              500       -5.21107357e-03       1.835504e-08
      5              200       -5.21107357e-03       2.608051e-08
     10              100       -5.21107357e-03       3.286398e-08
     20               50       -5.21107357e-03       3.878063e-08
     50               20       -5.21107357e-03       4.601396e-08
    100               10       -5.21107357e-03       5.584763e-08
    200                5       -5.21107357e-03       6.499067e-08
    300                3       -5.21106811e-03       9.849577e-08
    400                2       -5.21104690e-03       8.179898e-08
# Stocahstic error estimate: 9.849577e-08
#
