#
# Mean: -4.61129537e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61129537e-02       2.663106e-07
      2              500       -4.61129537e-02       3.489959e-07
      5              200       -4.61129537e-02       4.799601e-07
     10              100       -4.61129537e-02       6.056596e-07
     20               50       -4.61129537e-02       6.828943e-07
     50               20       -4.61129537e-02       8.543709e-07
    100               10       -4.61129537e-02       8.052813e-07
    200                5       -4.61129537e-02       8.122767e-07
    300                3       -4.61131852e-02       2.921459e-07
    400                2       -4.61132971e-02       6.017480e-07
# Stocahstic error estimate: 8.543709e-07
#
