#
# Mean: -4.61913987e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61913987e-02       2.835869e-07
      2              500       -4.61913987e-02       3.746853e-07
      5              200       -4.61913987e-02       5.211002e-07
     10              100       -4.61913987e-02       6.361055e-07
     20               50       -4.61913987e-02       7.517003e-07
     50               20       -4.61913987e-02       9.082642e-07
    100               10       -4.61913987e-02       1.224202e-06
    200                5       -4.61913987e-02       1.581568e-06
    300                3       -4.61913611e-02       2.132512e-06
    400                2       -4.61913380e-02       2.576918e-06
