rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
1	-8.44747136e-02	4.570297797469764056e+00 
10	-8.44694145e-02	2.165914975644438911e+00 
15	-8.44693052e-02	2.229625471578094320e+00 
0	-8.44673797e-02	9.716273975183541722e+01 
4	-8.44660251e-02	5.010395307558823674e-01 
8	-8.44649013e-02	1.108197432087196566e+00 
13	-8.44639357e-02	3.275445744318009389e+01 
5	-8.44571839e-02	1.093581188518619046e-01 
12	-8.44569130e-02	1.205253305365140970e-01 
6	-8.44552386e-02	1.402820302673815911e-01 
11	-8.44517930e-02	1.025428054325664556e-01 
14	-8.44504405e-02	4.130943052837119467e+01 
3	-8.43852830e-02	4.896359556958365666e-02 
9	-8.43807101e-02	4.822855258005415147e-02 
7	-8.32215613e-02	2.164355650942754658e-02 
2	-8.19719434e-02	1.281162613074303749e-02 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
3	-4.59288735e-02	2.219245568282855796e+00 
11	-4.59279808e-02	2.819903034395511199e+01 
13	-4.59264543e-02	7.200191958136425985e-01 
10	-4.59263471e-02	4.084427389769215155e-01 
6	-4.59256011e-02	3.336813707611025137e+01 
14	-4.59254474e-02	4.765094087591307037e+00 
2	-4.59245066e-02	6.822929853978799697e-01 
4	-4.59242698e-02	5.787447366304414587e-01 
8	-4.59228194e-02	1.936985368401499485e+01 
15	-4.59223398e-02	4.369473923506579927e-01 
1	-4.58797237e-02	1.314653601287249507e-01 
0	-4.55171387e-02	7.656845974957270096e-02 
12	-4.49467831e-02	4.914271878608399841e-02 
7	-4.42106444e-02	3.084069642696265351e-02 
5	-4.41497157e-02	2.984920881956297165e-02 
9	-4.30564622e-02	1.514501080699791509e-02 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
14	-3.16885997e-02	1.628623426960335152e+01 
7	-3.16885734e-02	3.175982476128956566e+00 
15	-3.16879199e-02	3.341306111967345771e+01 
13	-3.16876740e-02	4.302074782717116186e+00 
2	-3.16874006e-02	2.879453926068466885e+01 
8	-3.16871921e-02	2.815725377441771649e+00 
0	-3.16866455e-02	7.097212016118314182e+01 
6	-3.16865114e-02	2.940826058595436621e+01 
12	-3.16861687e-02	4.626999070976528827e+01 
10	-3.16853200e-02	6.320820674150103846e-01 
11	-3.16813955e-02	4.673033424080913489e-01 
4	-3.16796338e-02	3.888297653925479325e-01 
1	-3.13396663e-02	1.283360756499678235e-01 
3	-3.04108026e-02	5.439229736540501792e-02 
5	-3.03101425e-02	4.996369887923769043e-02 
9	-2.86944333e-02	1.080068632248694545e-02 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
5	-2.42451665e-02	7.103558697013528445e+01 
6	-2.42448156e-02	2.285517533372807364e+01 
3	-2.42447849e-02	2.655792038341942884e+00 
13	-2.42441355e-02	1.143626795655407591e+01 
1	-2.42440205e-02	3.860819172622773188e+00 
9	-2.42439267e-02	3.893630040870652920e+01 
12	-2.42431711e-02	5.372706011317490038e+00 
2	-2.42211916e-02	4.698554204870070139e-01 
11	-2.42176688e-02	4.451707854880301296e-01 
15	-2.40917594e-02	2.422427381644897404e-01 
8	-2.40582908e-02	2.255078195722709511e-01 
0	-2.32370669e-02	8.221876781723128080e-02 
7	-2.24073096e-02	3.507637840808285057e-02 
4	-2.21583989e-02	2.596651014607377628e-02 
14	-2.21192897e-02	2.469233781152864113e-02 
10	-2.18360314e-02	1.637055954866615745e-02 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
10	-1.96580399e-02	5.125839067218960565e+01 
5	-1.96580215e-02	1.333019418243073417e+01 
13	-1.96577882e-02	4.104910256114544076e+00 
3	-1.96574214e-02	3.505071317835445655e+01 
12	-1.96569876e-02	2.281780053426025745e+00 
15	-1.96552438e-02	1.400448640360692831e+00 
6	-1.96304756e-02	6.847394810510417651e-01 
8	-1.95906523e-02	4.788333093930277062e-01 
9	-1.95791287e-02	4.439123929612733277e-01 
4	-1.94468119e-02	2.794849485324204519e-01 
14	-1.94174647e-02	2.633804266954894446e-01 
1	-1.87548973e-02	1.048828448086269322e-01 
0	-1.85698445e-02	8.368320634709919270e-02 
2	-1.80660045e-02	4.444743666291679773e-02 
11	-1.77485275e-02	2.777840769422141101e-02 
7	-1.76711900e-02	2.420207316947919560e-02 

