#
# Mean: -4.59288735e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.59288735e-02       4.369081e-07
      2              500       -4.59288735e-02       6.012145e-07
      5              200       -4.59288735e-02       9.051960e-07
     10              100       -4.59288735e-02       1.212344e-06
     20               50       -4.59288735e-02       1.608840e-06
     50               20       -4.59288735e-02       2.160963e-06
    100               10       -4.59288735e-02       2.407356e-06
    200                5       -4.59288735e-02       3.246104e-06
    300                3       -4.59302788e-02       2.015342e-06
    400                2       -4.59314761e-02       2.149436e-06
# Stocahstic error estimate: 3.246104e-06
#
