#
# Mean: -1.96593275e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.96593275e-02       1.126981e-07
      2              500       -1.96593275e-02       1.535274e-07
      5              200       -1.96593275e-02       2.282874e-07
     10              100       -1.96593275e-02       2.934144e-07
     20               50       -1.96593275e-02       3.694142e-07
     50               20       -1.96593275e-02       4.946120e-07
    100               10       -1.96593275e-02       5.921344e-07
    200                5       -1.96593275e-02       6.312961e-07
    300                3       -1.96593216e-02       7.074866e-07
    400                2       -1.96595464e-02       5.823893e-07
# Stocahstic error estimate: 7.074866e-07
#
