#
# Mean: -3.17532626e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.17532626e-02       1.654328e-07
      2              500       -3.17532626e-02       2.242973e-07
      5              200       -3.17532626e-02       3.269616e-07
     10              100       -3.17532626e-02       4.180130e-07
     20               50       -3.17532626e-02       5.158922e-07
     50               20       -3.17532626e-02       7.145907e-07
    100               10       -3.17532626e-02       7.813221e-07
    200                5       -3.17532626e-02       6.603826e-07
    300                3       -3.17529671e-02       1.214627e-06
    400                2       -3.17532718e-02       1.055737e-06
# Stocahstic error estimate: 7.813221e-07
#
