#
# Mean: -2.43698952e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.43698952e-02       1.040912e-07
      2              500       -2.43698952e-02       1.412460e-07
      5              200       -2.43698952e-02       2.101406e-07
     10              100       -2.43698952e-02       2.791079e-07
     20               50       -2.43698952e-02       3.593805e-07
     50               20       -2.43698952e-02       4.934347e-07
    100               10       -2.43698952e-02       5.432024e-07
    200                5       -2.43698952e-02       7.069290e-07
    300                3       -2.43697783e-02       4.266405e-07
    400                2       -2.43695734e-02       6.862057e-07
# Stocahstic error estimate: 7.069290e-07
#
