#
# Mean: -8.42895434e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.42895434e-02       1.182420e-06
      2              500       -8.42895434e-02       1.551335e-06
      5              200       -8.42895434e-02       2.189596e-06
     10              100       -8.42895434e-02       2.791435e-06
     20               50       -8.42895434e-02       3.405455e-06
     50               20       -8.42895434e-02       3.699321e-06
    100               10       -8.42895434e-02       3.809516e-06
    200                5       -8.42895434e-02       3.774810e-06
    300                3       -8.42887982e-02       4.425380e-06
    400                2       -8.42894541e-02       4.749345e-06
# Stocahstic error estimate: 3.809516e-06
#
