#
# Mean: -2.43756370e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.43756370e-02       9.511762e-08
      2              500       -2.43756370e-02       1.283736e-07
      5              200       -2.43756370e-02       1.853250e-07
     10              100       -2.43756370e-02       2.298474e-07
     20               50       -2.43756370e-02       2.769583e-07
     50               20       -2.43756370e-02       3.480459e-07
    100               10       -2.43756370e-02       4.174550e-07
    200                5       -2.43756370e-02       4.230198e-07
    300                3       -2.43757668e-02       5.504129e-07
    400                2       -2.43758320e-02       4.325321e-07
# Stocahstic error estimate: 4.230198e-07
#
