#
# Mean: -2.42430340e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.42430340e-02       1.356921e-07
      2              500       -2.42430340e-02       1.825834e-07
      5              200       -2.42430340e-02       2.636571e-07
     10              100       -2.42430340e-02       3.357490e-07
     20               50       -2.42430340e-02       4.046192e-07
     50               20       -2.42430340e-02       5.652362e-07
    100               10       -2.42430340e-02       6.628098e-07
    200                5       -2.42430340e-02       6.576391e-07
    300                3       -2.42430288e-02       7.659485e-07
    400                2       -2.42430498e-02       2.080867e-07
# Stocahstic error estimate: 6.628098e-07
#
