#
# Mean: -2.44099138e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.44099138e-02       7.772680e-08
      2              500       -2.44099138e-02       1.062846e-07
      5              200       -2.44099138e-02       1.589233e-07
     10              100       -2.44099138e-02       2.120349e-07
     20               50       -2.44099138e-02       2.645873e-07
     50               20       -2.44099138e-02       3.585669e-07
    100               10       -2.44099138e-02       4.420890e-07
    200                5       -2.44099138e-02       5.989489e-07
    300                3       -2.44101189e-02       7.627646e-07
    400                2       -2.44103024e-02       7.551991e-07
# Stocahstic error estimate: 7.627646e-07
#
