#
# Mean: -1.95280467e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.95280467e-02       1.329411e-07
      2              500       -1.95280467e-02       1.782068e-07
      5              200       -1.95280467e-02       2.529535e-07
     10              100       -1.95280467e-02       3.270881e-07
     20               50       -1.95280467e-02       3.908566e-07
     50               20       -1.95280467e-02       4.410985e-07
    100               10       -1.95280467e-02       4.571805e-07
    200                5       -1.95280467e-02       5.856633e-07
    300                3       -1.95282997e-02       6.954068e-07
    400                2       -1.95282731e-02       8.949390e-07
# Stocahstic error estimate: 4.571805e-07
#
