#
# Mean: -3.19166069e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.19166069e-02       7.480198e-08
      2              500       -3.19166069e-02       9.837012e-08
      5              200       -3.19166069e-02       1.363118e-07
     10              100       -3.19166069e-02       1.624643e-07
     20               50       -3.19166069e-02       2.039065e-07
     50               20       -3.19166069e-02       2.601044e-07
    100               10       -3.19166069e-02       2.850763e-07
    200                5       -3.19166069e-02       3.183625e-07
    300                3       -3.19167489e-02       2.170339e-07
    400                2       -3.19167479e-02       3.782584e-07
# Stocahstic error estimate: 3.183625e-07
#
