#
# Mean: -1.97740944e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.97740944e-02       7.023583e-08
      2              500       -1.97740944e-02       9.486721e-08
      5              200       -1.97740944e-02       1.396126e-07
     10              100       -1.97740944e-02       1.796665e-07
     20               50       -1.97740944e-02       2.295071e-07
     50               20       -1.97740944e-02       3.031062e-07
    100               10       -1.97740944e-02       3.114815e-07
    200                5       -1.97740944e-02       3.473413e-07
    300                3       -1.97741017e-02       6.779872e-07
    400                2       -1.97741143e-02       6.081807e-08
# Stocahstic error estimate: 3.114815e-07
#
