#
# Mean: -3.19328770e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.19328770e-02       9.188151e-08
      2              500       -3.19328770e-02       1.217530e-07
      5              200       -3.19328770e-02       1.706806e-07
     10              100       -3.19328770e-02       2.128302e-07
     20               50       -3.19328770e-02       2.658087e-07
     50               20       -3.19328770e-02       3.207459e-07
    100               10       -3.19328770e-02       3.347241e-07
    200                5       -3.19328770e-02       3.891758e-07
    300                3       -3.19327180e-02       2.957073e-07
    400                2       -3.19326764e-02       3.358482e-07
# Stocahstic error estimate: 3.347241e-07
#
