#
# Mean: -3.19322048e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.19322048e-02       8.477115e-08
      2              500       -3.19322048e-02       1.116791e-07
      5              200       -3.19322048e-02       1.576319e-07
     10              100       -3.19322048e-02       1.989748e-07
     20               50       -3.19322048e-02       2.210119e-07
     50               20       -3.19322048e-02       2.654878e-07
    100               10       -3.19322048e-02       2.822913e-07
    200                5       -3.19322048e-02       3.447705e-07
    300                3       -3.19323342e-02       1.300332e-07
    400                2       -3.19323430e-02       3.446583e-07
# Stocahstic error estimate: 3.447705e-07
#
