#
# Mean: -2.44381436e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.44381436e-02       3.319800e-08
      2              500       -2.44381436e-02       4.366833e-08
      5              200       -2.44381436e-02       6.035587e-08
     10              100       -2.44381436e-02       7.214864e-08
     20               50       -2.44381436e-02       8.353970e-08
     50               20       -2.44381436e-02       1.017049e-07
    100               10       -2.44381436e-02       7.613171e-08
    200                5       -2.44381436e-02       6.331458e-08
    300                3       -2.44381298e-02       9.417683e-08
    400                2       -2.44380905e-02       3.605272e-08
# Stocahstic error estimate: 1.017049e-07
#
