#
# Mean: -4.63183174e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.63183174e-02       1.428396e-07
      2              500       -4.63183174e-02       1.867358e-07
      5              200       -4.63183174e-02       2.530279e-07
     10              100       -4.63183174e-02       2.934167e-07
     20               50       -4.63183174e-02       3.396335e-07
     50               20       -4.63183174e-02       3.464247e-07
    100               10       -4.63183174e-02       3.738467e-07
    200                5       -4.63183174e-02       4.349131e-07
    300                3       -4.63183210e-02       6.102683e-07
    400                2       -4.63180877e-02       5.365980e-07
# Stocahstic error estimate: 3.464247e-07
#
