#
# Mean: -1.96576923e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.96576923e-02       1.048321e-07
      2              500       -1.96576923e-02       1.423934e-07
      5              200       -1.96576923e-02       2.080237e-07
     10              100       -1.96576923e-02       2.630112e-07
     20               50       -1.96576923e-02       3.205543e-07
     50               20       -1.96576923e-02       4.003784e-07
    100               10       -1.96576923e-02       3.442972e-07
    200                5       -1.96576923e-02       4.345032e-07
    300                3       -1.96576197e-02       7.431383e-07
    400                2       -1.96574290e-02       8.726779e-07
# Stocahstic error estimate: 4.003784e-07
#
