#
# Mean: -2.44419900e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.44419900e-02       3.276836e-08
      2              500       -2.44419900e-02       4.301211e-08
      5              200       -2.44419900e-02       6.104524e-08
     10              100       -2.44419900e-02       7.439214e-08
     20               50       -2.44419900e-02       8.625393e-08
     50               20       -2.44419900e-02       9.177624e-08
    100               10       -2.44419900e-02       8.047928e-08
    200                5       -2.44419900e-02       1.184812e-07
    300                3       -2.44419605e-02       1.621128e-07
    400                2       -2.44419393e-02       1.807302e-07
# Stocahstic error estimate: 9.177624e-08
#
