#
# Mean: -3.18899887e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.18899887e-02       1.047083e-07
      2              500       -3.18899887e-02       1.405414e-07
      5              200       -3.18899887e-02       2.017314e-07
     10              100       -3.18899887e-02       2.573133e-07
     20               50       -3.18899887e-02       3.218619e-07
     50               20       -3.18899887e-02       4.386155e-07
    100               10       -3.18899887e-02       5.103453e-07
    200                5       -3.18899887e-02       5.193833e-07
    300                3       -3.18903619e-02       6.537002e-07
    400                2       -3.18903181e-02       4.127222e-07
# Stocahstic error estimate: 5.193833e-07
#
