#
# Mean: -3.16419057e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.16419057e-02       2.441035e-07
      2              500       -3.16419057e-02       3.336361e-07
      5              200       -3.16419057e-02       4.979389e-07
     10              100       -3.16419057e-02       6.484889e-07
     20               50       -3.16419057e-02       8.228771e-07
     50               20       -3.16419057e-02       7.728482e-07
    100               10       -3.16419057e-02       7.297139e-07
    200                5       -3.16419057e-02       1.496035e-07
    300                3       -3.16422486e-02       3.991933e-07
    400                2       -3.16419986e-02       1.592002e-07
# Stocahstic error estimate: 8.228771e-07
#
