#
# Mean: -3.16883514e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.16883514e-02       2.081233e-07
      2              500       -3.16883514e-02       2.822308e-07
      5              200       -3.16883514e-02       4.125714e-07
     10              100       -3.16883514e-02       5.370051e-07
     20               50       -3.16883514e-02       6.746664e-07
     50               20       -3.16883514e-02       7.929660e-07
    100               10       -3.16883514e-02       8.666631e-07
    200                5       -3.16883514e-02       8.803149e-07
    300                3       -3.16880754e-02       1.796989e-06
    400                2       -3.16885879e-02       4.226167e-07
# Stocahstic error estimate: 8.803149e-07
#
