#
# Mean: -3.16882028e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.16882028e-02       1.945798e-07
      2              500       -3.16882028e-02       2.624091e-07
      5              200       -3.16882028e-02       3.818919e-07
     10              100       -3.16882028e-02       4.783463e-07
     20               50       -3.16882028e-02       5.458672e-07
     50               20       -3.16882028e-02       6.170528e-07
    100               10       -3.16882028e-02       6.116608e-07
    200                5       -3.16882028e-02       2.920280e-07
    300                3       -3.16881146e-02       4.221257e-07
    400                2       -3.16881312e-02       5.363020e-07
# Stocahstic error estimate: 6.170528e-07
#
