#
# Mean: -3.16879693e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.16879693e-02       2.231258e-07
      2              500       -3.16879693e-02       3.038224e-07
      5              200       -3.16879693e-02       4.460189e-07
     10              100       -3.16879693e-02       5.818294e-07
     20               50       -3.16879693e-02       6.706929e-07
     50               20       -3.16879693e-02       7.731944e-07
    100               10       -3.16879693e-02       8.324106e-07
    200                5       -3.16879693e-02       7.800429e-07
    300                3       -3.16878574e-02       6.711406e-07
    400                2       -3.16875926e-02       1.435339e-06
# Stocahstic error estimate: 8.324106e-07
#
