#
# Mean: -2.44416075e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.44416075e-02       3.272988e-08
      2              500       -2.44416075e-02       4.340410e-08
      5              200       -2.44416075e-02       6.118959e-08
     10              100       -2.44416075e-02       7.608428e-08
     20               50       -2.44416075e-02       8.609260e-08
     50               20       -2.44416075e-02       1.112194e-07
    100               10       -2.44416075e-02       1.144122e-07
    200                5       -2.44416075e-02       5.901494e-08
    300                3       -2.44415745e-02       6.808620e-08
    400                2       -2.44415764e-02       5.042028e-08
# Stocahstic error estimate: 1.144122e-07
#
