#
# Mean: -4.62491584e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.62491584e-02       1.470218e-07
      2              500       -4.62491584e-02       1.971553e-07
      5              200       -4.62491584e-02       2.889726e-07
     10              100       -4.62491584e-02       3.757076e-07
     20               50       -4.62491584e-02       4.715127e-07
     50               20       -4.62491584e-02       6.016139e-07
    100               10       -4.62491584e-02       6.697615e-07
    200                5       -4.62491584e-02       8.060066e-07
    300                3       -4.62493363e-02       1.299457e-06
    400                2       -4.62493237e-02       8.751797e-07
# Stocahstic error estimate: 1.299457e-06
#
