#
# Mean: -1.97192785e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.97192785e-02       8.686845e-08
      2              500       -1.97192785e-02       1.182090e-07
      5              200       -1.97192785e-02       1.745161e-07
     10              100       -1.97192785e-02       2.277784e-07
     20               50       -1.97192785e-02       2.850358e-07
     50               20       -1.97192785e-02       4.247421e-07
    100               10       -1.97192785e-02       4.519901e-07
    200                5       -1.97192785e-02       3.258597e-07
    300                3       -1.97190761e-02       8.442439e-07
    400                2       -1.97192249e-02       2.502638e-07
# Stocahstic error estimate: 4.519901e-07
#
