#
# Mean: -4.61182713e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61182713e-02       2.130032e-07
      2              500       -4.61182713e-02       2.879767e-07
      5              200       -4.61182713e-02       4.195380e-07
     10              100       -4.61182713e-02       5.407819e-07
     20               50       -4.61182713e-02       6.735878e-07
     50               20       -4.61182713e-02       7.856468e-07
    100               10       -4.61182713e-02       9.863984e-07
    200                5       -4.61182713e-02       1.254697e-06
    300                3       -4.61182675e-02       1.146546e-06
    400                2       -4.61184573e-02       2.228340e-06
# Stocahstic error estimate: 1.254697e-06
#
