#
# Mean: -3.18050195e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.18050195e-02       1.696105e-07
      2              500       -3.18050195e-02       2.301676e-07
      5              200       -3.18050195e-02       3.401253e-07
     10              100       -3.18050195e-02       4.491797e-07
     20               50       -3.18050195e-02       5.690882e-07
     50               20       -3.18050195e-02       7.633895e-07
    100               10       -3.18050195e-02       8.831669e-07
    200                5       -3.18050195e-02       1.053773e-06
    300                3       -3.18052644e-02       9.087786e-07
    400                2       -3.18052978e-02       1.112043e-06
# Stocahstic error estimate: 1.053773e-06
#
