#
# Mean: -2.43674796e-02
# Block size    # of blocks         Mean                Error
      1             1000       -2.43674796e-02       1.028111e-07
      2              500       -2.43674796e-02       1.396060e-07
      5              200       -2.43674796e-02       2.054326e-07
     10              100       -2.43674796e-02       2.635248e-07
     20               50       -2.43674796e-02       3.279296e-07
     50               20       -2.43674796e-02       3.952513e-07
    100               10       -2.43674796e-02       4.505061e-07
    200                5       -2.43674796e-02       5.145049e-07
    300                3       -2.43676202e-02       5.375759e-07
    400                2       -2.43676526e-02       1.244747e-06
# Stocahstic error estimate: 5.375759e-07
#
