#
# Mean: -1.97726143e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.97726143e-02       6.934206e-08
      2              500       -1.97726143e-02       9.407004e-08
      5              200       -1.97726143e-02       1.362804e-07
     10              100       -1.97726143e-02       1.690126e-07
     20               50       -1.97726143e-02       2.027419e-07
     50               20       -1.97726143e-02       2.047560e-07
    100               10       -1.97726143e-02       2.703427e-07
    200                5       -1.97726143e-02       2.369970e-07
    300                3       -1.97725997e-02       4.161534e-07
    400                2       -1.97727236e-02       3.689972e-07
# Stocahstic error estimate: 2.047560e-07
#
