rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
0	-8.52503092e-02	1.273131947485389714e+00 
2	-8.52456279e-02	8.926111597975513456e-01 
8	-8.52439409e-02	1.134087374621288280e+00 
1	-8.52403711e-02	4.953277424774623072e-01 
7	-8.52386850e-02	6.811775551109074955e-01 
3	-8.52374509e-02	5.072151117042178470e-01 
12	-8.52374044e-02	2.712932307103647744e+00 
15	-8.52358667e-02	5.109259026461705488e+00 
5	-8.52324205e-02	4.572803736449055911e-01 
11	-8.52288403e-02	3.679050584358335430e-01 
6	-8.51489886e-02	8.914041489247489736e+00 
4	-8.51373472e-02	1.766315639956495820e-01 
14	-8.50740496e-02	1.429617420179630782e-01 
10	inf	6.687406718874029821e+01 
13	inf	1.141888321242310589e+01 
9	inf	4.320157456100288584e+01 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
1	-4.61873785e-02	1.826371254982147807e+00 
6	-4.61855214e-02	4.093929897676498619e+00 
0	-4.61801851e-02	2.374763268604175082e+00 
5	-4.61800758e-02	4.377702953942996800e+00 
12	-4.61781236e-02	2.333468053431422717e+00 
8	-4.61752890e-02	7.767776687945631586e+00 
3	-4.61613540e-02	8.604379128679607858e-01 
14	-4.60901701e-02	3.478797171551188949e-01 
11	-4.60833742e-02	7.905749408846932447e+00 
4	-4.60373918e-02	1.335130710594456815e-01 
13	2.95889206e-02	1.269733574027638845e+01 
10	inf	3.796819221492742003e+01 
15	inf	7.139948438205536263e+01 
2	inf	5.757189273753566994e+01 
7	inf	3.394182484192033655e+01 
9	inf	5.405591628674832805e+01 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
8	-3.18162882e-02	4.024783385689947757e+00 
0	-3.18104578e-02	1.002016868161971530e+01 
15	-3.17861400e-02	1.313033852036271876e+00 
1	-3.17623195e-02	4.819201388954484355e-01 
10	-3.17596082e-02	4.836846312015292693e-01 
11	-3.17559025e-02	4.350138180371039831e-01 
6	-3.17557204e-02	4.225985241875015452e-01 
7	-3.17516459e-02	3.510438473241374036e-01 
5	-3.17505248e-02	2.411259011389471074e-01 
14	-3.17476928e-02	2.079324852705464466e-01 
12	-3.17327949e-02	1.199189162469283115e-01 
13	-3.17213900e-02	1.357554911183665247e+01 
3	-3.16592121e-02	9.692534415994364494e+00 
2	inf	6.619858257132868573e+01 
4	inf	5.619538282642124472e+01 
9	inf	8.897767035544485736e+01 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
4	-2.43442557e-02	1.096314408614055402e+01 
15	-2.43272456e-02	3.966441884112050786e+00 
6	-2.43212265e-02	3.458132576993728780e+00 
13	-2.43200896e-02	4.731584411852156613e+00 
2	-2.43043711e-02	1.445218475900140964e+00 
8	-2.42981075e-02	1.095842075212003941e+00 
7	-2.42931040e-02	6.564193751160496415e-01 
9	-2.42922241e-02	6.837324650828560113e-01 
14	-2.42914189e-02	5.042996149986244125e-01 
10	-2.42912829e-02	4.590375896434188974e-01 
1	-2.42634277e-02	1.393866998894238984e-01 
3	-2.42631165e-02	1.257754507347381423e-01 
0	inf	5.445353092245679250e+01 
11	inf	7.030775864280055032e+01 
12	inf	4.373187568685583670e+01 
5	inf	1.923071002845026456e+01 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
12	-1.97178776e-02	7.617370476445327832e+00 
0	-1.97162921e-02	4.995405883909294964e+00 
10	-1.97133272e-02	4.135981020488760151e+00 
2	-1.97109570e-02	9.530004292045125780e+00 
11	-1.97103883e-02	1.374639495667972433e+01 
5	-1.97088376e-02	6.396678970773733930e+00 
1	-1.97055213e-02	2.581488816515666862e+00 
15	-1.97050146e-02	2.842746211494914022e+00 
8	-1.96989052e-02	1.665503831392877832e+00 
6	-1.96950773e-02	7.518414507590881479e-01 
13	-1.96768496e-02	2.386349189090462009e-01 
14	-1.96734350e-02	1.973628551755611804e-01 
9	-8.68683885e-03	5.153090987638127984e+01 
3	inf	4.210767467086746052e+01 
4	inf	7.910318065400440446e+01 
7	inf	9.834052652921197080e+01 

