#
# Mean: -3.18162882e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.18162882e-02       1.664542e-07
      2              500       -3.18162882e-02       2.217840e-07
      5              200       -3.18162882e-02       3.165275e-07
     10              100       -3.18162882e-02       3.991137e-07
     20               50       -3.18162882e-02       4.739954e-07
     50               20       -3.18162882e-02       3.949515e-07
    100               10       -3.18162882e-02       3.755070e-07
    200                5       -3.18162882e-02       5.387525e-07
    300                3       -3.18164236e-02       1.571560e-07
    400                2       -3.18167012e-02       7.002952e-07
# Stocahstic error estimate: 4.739954e-07
#
