rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
2	-4.61457217e-02	2.106160739778599300e+00 
10	-4.61452505e-02	3.149483084288277723e+00 
9	-4.61449064e-02	4.843116104719623394e+00 
3	-4.61448633e-02	3.816526975280597700e+00 
6	-4.61433808e-02	1.858503808283038516e+00 
5	-4.61419935e-02	7.233200516822584802e+00 
8	-4.61399586e-02	1.090235683973315828e+00 
12	-4.61398835e-02	1.554981335617760196e+00 
7	-4.61338612e-02	1.235335284596034811e+01 
11	-4.61284164e-02	1.226889112194986353e+01 
1	-4.61095314e-02	4.136014447272031158e-01 
14	-4.61005339e-02	3.666888837787766753e-01 
0	-4.60989505e-02	1.279572525335572841e+01 
4	-4.60656670e-02	1.005049505823017858e-01 
13	inf	6.198752961786064475e+01 
15	inf	8.196156946169210755e+01 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
9	-3.18837475e-02	4.856427748254592558e+00 
8	-3.18805622e-02	6.183924550606155535e+00 
3	-3.18795198e-02	2.551939873642949497e+00 
0	-3.18778431e-02	2.398433235829334098e+00 
15	-3.18734718e-02	1.900366768762360659e+00 
7	-3.18733940e-02	4.502241881428811432e+00 
2	-3.18727801e-02	7.155671039062159622e+00 
6	-3.18710805e-02	5.533698224133017263e+00 
5	-3.18687474e-02	3.268362743966209738e+00 
13	-3.18646059e-02	8.685176841484023580e-01 
1	-3.18496058e-02	9.009448539545758194e+00 
4	-3.18400797e-02	1.427481329771518592e-01 
10	-3.17987456e-02	2.455039579185205056e+01 
14	-3.17190112e-02	9.754862320779913887e+00 
11	-3.13293247e-02	1.269683793833685215e+01 
12	inf	3.791936202237113207e+01 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
8	-2.44083280e-02	1.637616367170244613e+00 
4	-2.44080881e-02	1.814829611102868778e+00 
6	-2.44079247e-02	3.384069497888141154e+00 
5	-2.44008346e-02	8.577035876327403940e+00 
10	-2.43944845e-02	3.560179981600540833e-01 
14	-2.43942210e-02	3.477836056249246632e-01 
13	-2.43916078e-02	2.902432345419750370e-01 
15	-2.43892289e-02	2.653841260367211241e-01 
2	-2.43810440e-02	1.138233686950972240e-01 
3	-2.43805732e-02	1.204506819526400957e-01 
12	-2.43577511e-02	9.674458107220059944e+00 
1	-1.85487468e-02	2.134854542067918715e+01 
0	inf	8.778678866828103367e+01 
11	inf	7.600149468384815066e+01 
7	inf	5.043866578317862803e+01 
9	inf	3.091555139208848502e+01 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
12	-1.98025323e-02	3.713497733974026271e+00 
10	-1.98018975e-02	3.234127690573459724e+00 
2	-1.97987278e-02	1.055760577977169667e+01 
3	-1.97930647e-02	5.859165370763516067e-01 
4	-1.97922569e-02	5.807572073744025065e-01 
7	-1.97917499e-02	5.635758232172540794e-01 
8	-1.97910816e-02	4.741759505142144060e-01 
0	-1.97910494e-02	4.447364323500848093e-01 
5	-1.97882077e-02	3.446604583145647660e-01 
13	-1.97839475e-02	2.095605620199411590e+01 
6	-1.97706994e-02	1.924932511806003532e+01 
1	3.90261664e-03	2.247381621287707532e+01 
14	1.89087833e-02	2.586482707145173165e+01 
11	inf	4.779115567356992500e+01 
15	inf	6.594585745489679596e+01 
9	inf	5.518869132872759309e+01 

