#
# Mean: -4.61457217e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61457217e-02       2.181608e-07
      2              500       -4.61457217e-02       2.950571e-07
      5              200       -4.61457217e-02       4.298730e-07
     10              100       -4.61457217e-02       5.513846e-07
     20               50       -4.61457217e-02       6.888657e-07
     50               20       -4.61457217e-02       8.927608e-07
    100               10       -4.61457217e-02       9.793870e-07
    200                5       -4.61457217e-02       1.157252e-06
    300                3       -4.61453109e-02       4.537254e-07
    400                2       -4.61453849e-02       9.710134e-07
# Stocahstic error estimate: 1.157252e-06
#
