rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
6	-8.52507942e-02	1.700009980945698551e+00 
7	-8.52483106e-02	8.858906019377856822e-01 
11	-8.52430894e-02	5.669720609687357582e-01 
13	-8.52380142e-02	5.713308288859270112e-01 
1	-8.52376573e-02	6.967980853685185050e-01 
5	-8.52373386e-02	3.756513642302298783e-01 
12	-8.52365941e-02	5.537660411175274744e-01 
0	-8.52258132e-02	5.167646111821408539e+00 
15	-8.52218892e-02	3.217142425387868876e-01 
2	-8.52159526e-02	7.562163609658262509e+00 
14	-8.52158031e-02	2.466794867980173500e-01 
9	-8.52088125e-02	2.464610029942648495e-01 
8	-8.51945854e-02	7.813248056567982935e+00 
4	-8.51591056e-02	4.433992304510344873e+00 
10	-8.51337552e-02	1.631734948300203880e-01 
3	-8.45242476e-02	7.820607818833122060e+00 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
4	-4.61920287e-02	2.352396200680765492e+00 
1	-4.61902416e-02	1.775674373761977565e+00 
0	-4.61890845e-02	4.818050330014705729e+00 
12	-4.61844306e-02	1.168982335173386788e+00 
5	-4.61841465e-02	3.488134629803211872e+00 
2	-4.61750402e-02	6.373357805815122568e+00 
14	-4.61631219e-02	8.263504863179194970e+00 
15	-4.61537494e-02	7.143409201665832375e-01 
6	-4.61534884e-02	6.906453804843896149e-01 
13	-4.61334473e-02	6.668052520153540996e+00 
11	-4.61126497e-02	4.173929458623005240e-01 
10	-4.60459472e-02	6.627640845941601633e+00 
7	-4.60455814e-02	1.440783756934894411e-01 
9	-4.60437468e-02	1.380694923509166450e-01 
8	-4.60351856e-02	1.075501407597375531e-01 
3	-4.60345368e-02	1.193707858803008254e-01 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
4	-3.18342048e-02	5.421791955674656549e+00 
5	-3.18334154e-02	4.147220232209433810e+00 
10	-3.18306888e-02	3.490872813663238095e+00 
1	-3.18296926e-02	2.725291198585538588e+00 
11	-3.18252801e-02	5.690785318773472490e+00 
13	-3.18226623e-02	9.123208997377055596e+00 
12	-3.18207797e-02	4.623438094085772221e+00 
2	-3.18127504e-02	1.983281145245430865e+00 
9	-3.18029226e-02	1.365643034494793850e+00 
14	-3.17984802e-02	1.333420845552523160e+00 
15	-3.17844044e-02	8.332291710994262912e-01 
0	-3.17711841e-02	6.893560431534330180e-01 
6	-3.17653655e-02	5.153638639658124632e-01 
7	-3.17558899e-02	3.462520692720224558e-01 
8	-3.17549979e-02	3.429359804031812398e-01 
3	-3.17515029e-02	7.862517037965186972e+00 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
5	-2.43434743e-02	8.234286422627405955e+00 
1	-2.43434250e-02	9.321687388764747340e+00 
15	-2.43315941e-02	4.140354572789616938e+00 
12	-2.43303287e-02	4.742234001024915102e+00 
14	-2.43274329e-02	4.463684232109587313e+00 
4	-2.43264244e-02	4.498538668814568098e+00 
13	-2.43087508e-02	4.844245602775155035e+00 
7	-2.43051125e-02	1.514242917430004498e+00 
9	-2.43019737e-02	1.213608042334748172e+00 
0	-2.42988338e-02	1.062659508031458033e+00 
6	-2.42956465e-02	6.919188668853267776e-01 
11	-2.42941954e-02	6.237547118646588062e-01 
2	-2.42929364e-02	6.976595805088399160e-01 
8	-2.42903837e-02	4.404229367563597397e-01 
3	-2.42877500e-02	3.569174408290420319e-01 
10	-2.42635637e-02	1.158241177145602624e-01 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
12	-1.97147490e-02	5.080979574519303377e+00 
1	-1.97143808e-02	9.886950918554417100e+00 
14	-1.97100899e-02	2.976666249532713415e+00 
10	-1.97083011e-02	2.869643139196142112e+00 
6	-1.97058688e-02	2.601070868178955831e+00 
8	-1.97033752e-02	2.078860250407268406e+00 
9	-1.97002674e-02	1.609189486351344955e+00 
5	-1.96989004e-02	1.056610071753864011e+00 
7	-1.96981500e-02	1.050803374284617231e+00 
2	-1.96980678e-02	1.186894469853454925e+00 
0	-1.96963810e-02	7.153485303992848099e-01 
13	-1.96960300e-02	1.058105872505466172e+00 
15	-1.96941356e-02	6.391686732286944173e-01 
3	-1.96700693e-02	1.766960541940945095e-01 
4	-1.96689318e-02	1.662923177804936925e-01 
11	-1.96644416e-02	1.181350677300692514e-01 

