#
# Mean: -4.61920287e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61920287e-02       3.012351e-07
      2              500       -4.61920287e-02       4.100891e-07
      5              200       -4.61920287e-02       6.060266e-07
     10              100       -4.61920287e-02       7.778498e-07
     20               50       -4.61920287e-02       9.135236e-07
     50               20       -4.61920287e-02       1.078899e-06
    100               10       -4.61920287e-02       1.244980e-06
    200                5       -4.61920287e-02       1.404556e-06
    300                3       -4.61917524e-02       1.376912e-06
    400                2       -4.61921246e-02       9.024084e-07
# Stocahstic error estimate: 1.404556e-06
#
