rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
9	-8.48832726e-02	1.950785457158326297e+00 
6	-8.48504774e-02	1.309497256863235037e+00 
0	-8.47177683e-02	3.314579107355053900e+00 
1	-8.47120854e-02	2.053353563549743743e+00 
10	-8.44585059e-02	5.365470940683394474e+00 
5	-8.43672788e-02	1.408204482865249019e-01 
13	-8.43585507e-02	2.227265622284048119e-01 
11	-8.43316144e-02	1.619593498176126745e-01 
12	-8.42710131e-02	2.877150957674478593e-01 
8	-8.41563417e-02	5.361220402077916392e-01 
4	-8.40157052e-02	6.796621840688872318e-01 
2	-8.39421799e-02	8.959814624657141957e-01 
7	-8.15753212e-02	7.824590176556886156e+00 
15	-7.60988247e-02	3.399609104029391649e+00 
3	-7.42138186e-02	6.249788369970458390e+00 
14	inf	7.857255032099299541e+00 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
12	-4.61236152e-02	6.886236781227000892e-01 
14	-4.61233678e-02	4.028293339944065132e-01 
11	-4.61204469e-02	3.746210999356912597e-01 
10	-4.61202799e-02	8.330511711992387713e-01 
13	-4.61195100e-02	2.453572586585433812e-01 
2	-4.61192840e-02	4.566273316125566417e-01 
9	-4.61120717e-02	1.636611368270435962e+00 
4	-4.61023687e-02	2.106065966054504024e+00 
8	-4.60764584e-02	9.018906006790762264e-01 
0	-4.60661978e-02	1.196567079215614809e-01 
6	-4.60460249e-02	1.036954954379904204e-01 
7	-4.60341348e-02	1.000087292821130042e-01 
5	-4.60310354e-02	2.637727115992310800e+00 
15	-4.59493911e-02	4.318112393082880196e+00 
3	-4.59350186e-02	4.457314008831746222e+00 
1	-4.58909643e-02	3.632560480771954037e+00 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
14	-3.18387725e-02	9.322915073395717789e-01 
8	-3.18357313e-02	6.548172929441234968e-01 
15	-3.18350970e-02	6.322381581675624584e-01 
12	-3.18279146e-02	5.950666480153014026e-01 
2	-3.18277447e-02	1.235908520213743422e+00 
7	-3.18262944e-02	2.416685934646776612e+00 
5	-3.18098702e-02	3.287854114925354287e-01 
4	-3.17881065e-02	2.232914643117925590e-01 
3	-3.17834888e-02	2.109843315747166881e-01 
11	-3.17743225e-02	1.646895534832162056e-01 
1	-3.17607633e-02	1.093216610459881860e-01 
13	-3.17381365e-02	3.169615062282661100e+00 
6	-3.16949842e-02	4.696331222804330352e+00 
9	-3.16302657e-02	3.160432876085813358e+00 
0	-3.13634138e-02	3.773159385573159330e+00 
10	-3.06618260e-02	6.803402242506219721e+00 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
1	-2.43672533e-02	1.889593438327183295e+00 
10	-2.43554311e-02	1.142045463105072711e+00 
4	-2.43528999e-02	2.047046264199062549e+00 
2	-2.43518854e-02	9.391359192089656638e-01 
8	-2.43517849e-02	7.895456998461486409e-01 
7	-2.43478096e-02	1.162136724821703382e+00 
13	-2.43370220e-02	5.239100495173502070e-01 
6	-2.43221770e-02	3.918637438955688279e-01 
0	-2.43136745e-02	3.027830687647272701e-01 
3	-2.43066539e-02	1.260315049829540957e-01 
9	-2.43056577e-02	1.746055727220046927e-01 
11	-2.43056296e-02	1.453226637418064682e-01 
12	-2.43052863e-02	1.045459183328886904e-01 
15	-2.41952291e-02	3.905148291568873553e+00 
5	-2.36138535e-02	6.218360865460827114e+00 
14	-2.14762974e-02	5.662287501772085285e+00 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
14	-1.97610536e-02	2.200709517644544366e+00 
15	-1.97554659e-02	2.234598833939122287e+00 
9	-1.97544224e-02	1.773694460944337914e+00 
13	-1.97526292e-02	9.624178381210213296e-01 
2	-1.97510549e-02	1.530117891251332907e+00 
12	-1.97498310e-02	8.550341292237346735e-01 
8	-1.97267385e-02	4.363893005157220006e-01 
10	-1.97256037e-02	3.942180320890398826e-01 
0	-1.97233121e-02	3.692063876391455390e-01 
5	-1.97224038e-02	1.031712088700992014e-01 
3	-1.97094843e-02	3.893766663884914436e+00 
1	-1.96701912e-02	3.410044478373002175e+00 
7	-1.96218649e-02	4.221373343180252036e+00 
11	-1.84137516e-02	8.368506547097540604e+00 
6	-1.81945494e-02	7.112787925873188755e+00 
4	-1.72216768e-02	7.376182606455204294e+00 

